review_id,business_id,stars,sentiment_label,clean_text,processed_text,date
0,ChIJ6_3yMNUEdkgRgYFYwtACqqo,5,Positive,"finally went to liberty london, and what an amazing store it is. once you enter the department store, executed in tudor revival architecture, you cross the threshold to another world --- one filled with rich sumptuous colours, eclectic interiors of dark oak and teak timbers, 100yo floors recycled from the 19thc royal navy ship hms impregnable, and flamboyant and theatrical display of goods! i spent my first visit just walking slowly (and probably blocking shoppers), admiring everything from the way the christmas ship centrepiece hung from the ceiling, to the way textiles are draped on mannequins, the tableware display, etc. i'll have to come back another day to actually buy something!",finally went liberty london amazing store enter department store executed tudor revival architecture cross threshold another world one filled rich sumptuous colour eclectic interior dark oak teak timber yo floor recycled thc royal navy ship hm impregnable flamboyant theatrical display good spent first visit walking slowly probably blocking shopper admiring everything way christmas ship centrepiece hung ceiling way textile draped mannequin tableware display etc come back another day actually buy something,1/12/2026 21:46
1,ChIJ6_3yMNUEdkgRgYFYwtACqqo,5,Positive,"really nice shopping day at liberty. their christmas 🎄 decorations are always wonderful. the ship in the centre of the main hall is just fantastic. bought perfume from the ground floor, the staff was extremely friendly and helpful. you could easily spend hours looking at all the christmas decorations on the top floor. we will be back again soon for more inspirations.",really nice shopping day liberty christmas decoration always wonderful ship centre main hall fantastic bought perfume ground floor staff extremely friendly helpful could easily spend hour looking christmas decoration top floor back soon inspiration,11/20/2025 7:19
2,ChIJ6_3yMNUEdkgRgYFYwtACqqo,5,Positive,"liberty is the destination of dreams for anyone who sews, stitches, entertains, or wears cloths. very fun to browse all the lovely patterned goods for sale. check out the haberdashery first if you're buying fabric - the quilting cotton is significantly less expensive than the lawn for some clothing and many craft projects. lots of creative projects to inspire. beautifully decorated at christmas, but lots of people enjoying toye visit with you. lovely visit and even lovelier staff.",liberty destination dream anyone sews stitch entertains wear cloth fun browse lovely patterned good sale check haberdashery first buying fabric quilting cotton significantly less expensive lawn clothing many craft project lot creative project inspire beautifully decorated christmas lot people enjoying toye visit lovely visit even lovelier staff,12/8/2025 19:17
3,ChIJ6_3yMNUEdkgRgYFYwtACqqo,5,Positive,"beautiful store with an amazing range for all ages. amazing history and some pieces at great prices! personally, i loved the collections of chocolates and sweets available in the food gallery, theres so many ways to prepare chocolate!",beautiful store amazing range age amazing history piece great price personally loved collection chocolate sweet available food gallery there many way prepare chocolate,12/28/2025 10:38
4,ChIJ6_3yMNUEdkgRgYFYwtACqqo,5,Positive,"such a cool building both inside and out. really we came because the cruella movie put us onto this, and were couldn't believe that such a neat looking place actually existed in real life. it's surprisingly extensive, being cozy and open at the same time. wonderful selection and friendly helpful staff. items are not going to be inexpensive, and there are some eye popping prices, but there are also many unique and reasonable finds. free embossing on some items too!",cool building inside really came cruella movie put u onto believe neat looking place actually existed real life surprisingly extensive cozy open time wonderful selection friendly helpful staff item going inexpensive eye popping price also many unique reasonable find free embossing item,11/12/2025 23:19
5,ChIJOe3Zp80adkgRoAPhF-w9lA8,1,Negative,"i’ve been a paying model client at daniel galvin for years, but my recent experience showed a worrying lack of professionalism and accountability. twice i arrived for confirmed colour appointments only to be told on arrival that my stylist wasn’t available. no one contacted me beforehand either time, despite my specifically requesting this after the first incident. when i tried to resolve it, i was passed between staff, promised call-backs that never happened, and had to chase four times before the owner’s son finally spoke with me. the explanations i received were contradictory, including being told i’d spoken to someone on the morning of my appointment when i hadn’t. instead of taking responsibility, management offered no real solution. despite both missed appointments being due to their own internal miscommunication, i was told the next model slot would be in january (this was november) or that i could pay full price to fix their mistake. it felt unfair and unprofessional. i understand that premium clients get priority, but how a salon treats every client - reveals its values. in this case, follow-through, honesty, and care were all missing. a salon can’t claim to offer a premium experience when basic communication repeatedly fails. based on this, i would avoid.",paying model client daniel galvin year recent experience showed worrying lack professionalism accountability twice arrived confirmed colour appointment told arrival stylist available one contacted beforehand either time despite specifically requesting first incident tried resolve passed staff promised call back never happened chase four time owner son finally spoke explanation received contradictory including told spoken someone morning appointment instead taking responsibility management offered real solution despite missed appointment due internal miscommunication told next model slot would january november could pay full price fix mistake felt unfair unprofessional understand premium client get priority salon treat every client reveals value case follow honesty care missing salon claim offer premium experience basic communication repeatedly fails based would avoid,12/10/2025 15:16
6,ChIJOe3Zp80adkgRoAPhF-w9lA8,5,Positive,"i recently had my hair coloured by rosie and i couldn’t be happier with the results! i hadn’t coloured my hair in a while and was a bit nervous about how it would take to the colour, but rosie was absolutely incredible. she made me feel completely at ease and the finished look exceeded my expectations. i’m so pleased and already looking forward to my next visit!",recently hair coloured rosie happier result coloured hair bit nervous would take colour rosie absolutely incredible made feel completely ease finished look exceeded expectation pleased already looking forward next visit,7/25/2025 6:52
7,ChIJOe3Zp80adkgRoAPhF-w9lA8,5,Positive,"i love coming here. sienna is fantastic with my long hair, and can always give it that natural full bodied bounce we all love. to top it off, the service is wonderful; everything you need for an upscale, luxe haircut experience: coat check; cocktails; full breakfast and lunch menu; etc.",love coming sienna fantastic long hair always give natural full bodied bounce love top service wonderful everything need upscale luxe haircut experience coat check cocktail full breakfast lunch menu etc,3/7/2024 23:44
8,ChIJOe3Zp80adkgRoAPhF-w9lA8,5,Positive,"daniel galvin salon is the best! lani always does an amazing job with my color, and alan nails the cut and style every time. i’ve been coming here for years and wouldn’t let anyone else touch my hair.",daniel galvin salon best lani always amazing job color alan nail cut style every time coming year let anyone else touch hair,7/8/2025 15:31
9,ChIJOe3Zp80adkgRoAPhF-w9lA8,5,Positive,"really pleased with my visit to daniel gavin (george street salon) last week! i was a bit nervous about getting highlights done somewhere new, but hannah was fantastic - took the time to understand exactly what i wanted and the colour came out perfectly. not too bold, just really natural-looking highlights that brighten up my hair. joleen did my blow dry afterwards and honestly, my hair has never looked better! she really knew what she was doing and it looked amazing all evening. the salon is lovely - quite busy but in a good way, you can see it's popular. staff were friendly and i felt looked after throughout. definitely going back for my next colour. would recommend if you're looking for a good colourist in the area. thanks hannah and joleen!",really pleased visit daniel gavin george street salon last week bit nervous getting highlight done somewhere new hannah fantastic took time understand exactly wanted colour came perfectly bold really natural looking highlight brighten hair joleen blow dry afterwards honestly hair never looked better really knew looked amazing evening salon lovely quite busy good way see popular staff friendly felt looked throughout definitely going back next colour would recommend looking good colourist area thanks hannah joleen,7/1/2025 8:15
