place_id,review_text,rating,time,relative_time_description,language
ChIJ6_3yMNUEdkgRgYFYwtACqqo,"Finally went to Liberty London, and what an amazing store it is. Once you enter the department store, executed in Tudor Revival architecture, you cross the threshold to another world --- one filled with rich sumptuous colours, eclectic interiors of dark oak and teak timbers, 100yo floors recycled from the 19thC Royal Navy ship HMS Impregnable, and flamboyant and theatrical display of goods!

I spent my first visit just walking slowly (and probably blocking shoppers), admiring everything from the way the Christmas ship centrepiece hung from the ceiling, to the way textiles are draped on mannequins, the tableware display, etc.

I'll have to come back another day to actually buy something!",5,1768254416,3 weeks ago,en
ChIJ6_3yMNUEdkgRgYFYwtACqqo,"Really nice shopping day at Liberty. Their Christmas 🎄 decorations are always wonderful. The ship in the centre of the main hall is just fantastic. Bought perfume from the ground floor, the staff was extremely friendly and helpful. You could easily spend hours looking at all the Christmas decorations on the top floor. We will be back again soon for more inspirations.",5,1763623171,2 months ago,en
ChIJ6_3yMNUEdkgRgYFYwtACqqo,"Liberty is the destination of dreams for anyone who sews, stitches, entertains, or wears cloths. Very fun to browse all the lovely patterned goods for sale. Check out The Haberdashery first if you're buying fabric - the quilting cotton is significantly less expensive than the lawn for some clothing and many craft projects. Lots of creative projects to inspire. Beautifully decorated at Christmas, but lots of people enjoying toye visit with you. Lovely visit and even lovelier staff.",5,1765221458,a month ago,en
ChIJ6_3yMNUEdkgRgYFYwtACqqo,"Beautiful store with an amazing range for all ages. Amazing history and some pieces at great prices! Personally, I loved the collections of chocolates and sweets available in the food gallery, theres so many ways to prepare chocolate!",5,1766918285,a month ago,en
ChIJ6_3yMNUEdkgRgYFYwtACqqo,"Such a cool building both inside and out. Really we came because the Cruella movie put us onto this, and were couldn't believe that such a neat looking place actually existed in real life. It's surprisingly extensive, being cozy and open at the same time. Wonderful selection and friendly helpful staff. Items are not going to be inexpensive, and there are some eye popping prices, but there are also many unique and reasonable finds. Free embossing on some items too!",5,1762989582,2 months ago,en
ChIJOe3Zp80adkgRoAPhF-w9lA8,"I’ve been a paying model client at Daniel Galvin for years, but my recent experience showed a worrying lack of professionalism and accountability.

Twice I arrived for confirmed colour appointments only to be told on arrival that my stylist wasn’t available. No one contacted me beforehand either time, despite my specifically requesting this after the first incident.

When I tried to resolve it, I was passed between staff, promised call-backs that never happened, and had to chase four times before the owner’s son finally spoke with me. The explanations I received were contradictory, including being told I’d spoken to someone on the morning of my appointment when I hadn’t.

Instead of taking responsibility, management offered no real solution. Despite both missed appointments being due to their own internal miscommunication, I was told the next model slot would be in January (this was November) or that I could pay full price to fix their mistake. It felt unfair and unprofessional.

I understand that premium clients get priority, but how a salon treats every client  - reveals its values. In this case, follow-through, honesty, and care were all missing.

A salon can’t claim to offer a premium experience when basic communication repeatedly fails. Based on this, I would avoid.",1,1765379769,a month ago,en
ChIJOe3Zp80adkgRoAPhF-w9lA8,"I recently had my hair coloured by Rosie and I couldn’t be happier with the results! I hadn’t coloured my hair in a while and was a bit nervous about how it would take to the colour, but Rosie was absolutely incredible. She made me feel completely at ease and the finished look exceeded my expectations. I’m so pleased and already looking forward to my next visit!",5,1753426335,6 months ago,en
ChIJOe3Zp80adkgRoAPhF-w9lA8,"I love coming here. Sienna is fantastic with my long hair, and can always give it that natural full bodied bounce we all love.

To top it off, the service is wonderful; everything you need for an upscale, luxe haircut experience: coat check; cocktails; full breakfast and lunch menu; etc.",5,1709855049,a year ago,en
ChIJOe3Zp80adkgRoAPhF-w9lA8,"Daniel Galvin Salon is the best! Lani always does an amazing job with my color, and Alan nails the cut and style every time. I’ve been coming here for years and wouldn’t let anyone else touch my hair.",5,1751988682,7 months ago,en
ChIJOe3Zp80adkgRoAPhF-w9lA8,"Really pleased with my visit to Daniel Gavin (George Street salon) last week! I was a bit nervous about getting highlights done somewhere new, but Hannah was fantastic - took the time to understand exactly what I wanted and the colour came out perfectly. Not too bold, just really natural-looking highlights that brighten up my hair.

Joleen did my blow dry afterwards and honestly, my hair has never looked better! She really knew what she was doing and it looked amazing all evening.

The salon is lovely - quite busy but in a good way, you can see it's popular. Staff were friendly and I felt looked after throughout.
Definitely going back for my next colour. Would recommend if you're looking for a good colourist in the area.

Thanks Hannah and Joleen!",5,1751357711,7 months ago,en
